"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"17","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,328,064"
"17","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.43"
"18","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,630,752"
"18","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,354,048"
"18","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.39"
"19","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,633,408"
"19","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,319,840"
"19","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.32"
"20","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,610,848"
"20","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,368,064"
"20","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.37"
"21","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,551,424"
"21","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,311,072"
"21","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.38"
"22","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,649,600"
"22","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,343,616"
"22","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.41"
"23","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,597,920"
"23","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,330,752"
"23","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.29"
"24","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,611,968"
"24","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,337,024"
"24","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.24"
"25","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,653,824"
"25","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,364,960"
"25","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.47"
"26","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,606,176"
"26","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,317,024"
"26","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.33"
"27","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,633,728"
"27","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,363,840"
"27","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.26"
"28","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,585,472"
"28","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,314,336"
"28","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.25"
"29","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,646,048"
"29","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,335,296"
"29","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.35"
"30","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,592,608"
"30","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,316,992"
"30","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.32"
"31","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,614,784"
"31","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,347,456"
"31","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.25"
"32","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,637,664"
"32","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,340,672"
"32","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.48"
"33","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,646,976"
"33","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,344,224"
"33","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.46"
"34","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,708,512"
"34","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,363,488"
"34","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.48"
"35","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,587,008"
"35","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,323,392"
"35","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.31"
"36","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,579,776"
"36","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,336,032"
"36","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.37"
"37","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,529,760"
